id,symbol,date,open,low,high,close,volume,rsi
1063278,TSLA,2024-07-05 07:30:00,248.39,245.79,249.46,245.86,15028933,78.03282423171724
1063280,TSLA,2024-07-05 06:30:00,246.63,245.65,250.57,248.4,22698506,85.9157822927831
1063282,TSLA,2024-07-05 05:30:00,249.81,242.46,252.37,246.66,46629510,84.98031006483814
1063284,TSLA,2024-07-03 08:30:00,244.97,242.62,247.84,246.4,15784492,84.84494006241525
1063286,TSLA,2024-07-03 07:30:00,242.13,240.12,246.09,244.97,25522568,84.13724650187672
1063288,TSLA,2024-07-03 06:30:00,244.57,241.35,248.35,242.14,48950779,82.69821101425524
1063290,TSLA,2024-07-03 05:30:00,234.56,234.25,244.69,244.56,59642800,88.9053622090836
1063292,TSLA,2024-07-02 11:30:00,228.57,228.49,231.42,229.58,17011495,80.93203735591561
1063294,TSLA,2024-07-02 10:30:00,228.91,227.93,229.69,228.59,13829392,80.0805676947923
1063296,TSLA,2024-07-02 09:30:00,227.36,225.87,229.31,228.89,17485707,81.06785174252332
1063298,TSLA,2024-07-02 08:30:00,229.04,227.23,229.84,227.34,14462536,79.91650194735229
1063300,TSLA,2024-07-02 07:30:00,229.59,226.82,229.86,229.02,20980155,84.95642262183415
1063302,TSLA,2024-07-02 06:30:00,229.44,227.25,231.15,229.58,40079077,86.59474755295228
1063304,TSLA,2024-07-02 05:30:00,218.89,218.06,229.55,229.44,61401657,86.53632913009255
1063306,TSLA,2024-07-01 11:30:00,210.61,209.24,212.05,209.45,11802950,69.39948608250555
1063308,TSLA,2024-07-01 10:30:00,212.17,209.6,212.87,210.63,14670935,74.4326681741955
1063310,TSLA,2024-07-01 09:30:00,209.77,208.97,213.23,212.18,15262149,81.41293457959449
1063312,TSLA,2024-07-01 08:30:00,210.22,208.98,210.85,209.78,9329721,78.61868735963323
1063314,TSLA,2024-07-01 07:30:00,210.36,209.27,211.34,210.25,12999825,80.75847783609989
1063316,TSLA,2024-07-01 06:30:00,209.77,207.65,211.55,210.36,23544736,81.22413673057613
1063318,TSLA,2024-07-01 05:30:00,201.02,200.85,210.0,209.8,41442927,80.71463520628018
1063320,TSLA,2024-06-28 11:30:00,196.11,195.26,198.3,197.91,9458258,59.944028726060495
1063322,TSLA,2024-06-28 10:30:00,196.79,195.82,196.95,196.11,5589168,53.05526347851709
1063324,TSLA,2024-06-28 09:30:00,196.85,196.38,197.58,196.77,5035273,56.24747054925746
1063326,TSLA,2024-06-28 08:30:00,197.55,195.37,197.74,196.84,9751733,56.57238097774582
1063328,TSLA,2024-06-28 07:30:00,200.85,197.13,201.35,197.57,13376533,59.81533287961473
1063330,TSLA,2024-06-28 06:30:00,200.4,200.36,203.2,200.87,13737765,78.00867796202093
1063332,TSLA,2024-06-28 05:30:00,199.55,198.58,202.98,200.42,29349546,77.15594242440348
1063334,TSLA,2024-06-27 11:30:00,196.89,196.81,198.0,197.47,6947390,70.37938531810225
